Date,Composite,Equity,Event,Macro,Relative
13-Feb,0.31%,0.50%,0.58%,-0.33%,0.47%
13-Mar,0.93%,0.99%,1.30%,0.80%,0.72%
13-Apr,0.97%,0.70%,1.09%,1.54%,0.86%
13-May,0.61%,1.24%,2.16%,-1.27%,0.51%
13-Jun,-1.63%,-1.68%,-1.63%,-2.12%,-0.91%
13-Jul,1.30%,2.27%,1.73%,-0.32%,0.72%
13-Aug,-0.62%,-0.71%,-0.07%,-1.30%,0.08%
13-Sep,1.49%,2.41%,1.80%,-0.06%,0.96%
13-Oct,1.68%,2.09%,1.93%,1.26%,1.05%
13-Nov,1.17%,1.35%,1.53%,1.18%,0.51%
13-Dec,1.11%,1.56%,1.22%,0.48%,0.69%
14-Jan,-0.53%,-0.98%,0.59%,-1.25%,0.81%
14-Feb,1.69%,2.32%,2.50%,0.62%,0.96%
14-Mar,-0.56%,-0.77%,-0.39%,-1.04%,0.43%
14-Apr,-0.50%,-1.23%,-0.12%,0.05%,0.44%
14-May,1.23%,1.47%,0.90%,1.35%,0.69%
14-Jun,1.12%,1.31%,1.46%,0.79%,0.85%
14-Jul,-0.41%,-0.48%,-0.43%,-0.68%,0.07%
14-Aug,1.28%,1.42%,0.29%,2.14%,0.50%
14-Sep,-0.15%,-0.82%,-0.59%,1.45%,-0.13%
14-Oct,-0.26%,-0.02%,-2.22%,0.52%,-0.58%
14-Nov,1.29%,1.16%,0.85%,2.68%,0.31%
14-Dec,0.08%,0.16%,-0.16%,0.60%,-0.56%
15-Jan,0.51%,-0.02%,-1.00%,2.79%,0.11%
15-Feb,1.74%,2.49%,2.43%,0.28%,1.23%
15-Mar,0.61%,0.69%,0.69%,0.83%,0.16%
15-Apr,0.90%,1.84%,1.53%,-1.58%,1.06%
15-May,0.86%,1.38%,1.15%,-0.04%,0.43%
15-Jun,-1.63%,-1.31%,-1.34%,-3.23%,-0.87%
15-Jul,0.15%,-0.25%,-0.61%,1.83%,-0.34%
